B14 P. NORTE_TV86,Calle 85 B - 4 ó 6
B14 P. NORTE_TV86,Calle 100 C - 3
B14 P. NORTE_TV86,Calle 127 B - 4 ó 6
B14 P. NORTE_TV86,Alcalá B - 4 ó 6
B14 P. NORTE_TV86,Calle 146 C - 4
B14 P. NORTE_TV86,Cabecera Autopista Norte T3
B14 P. NORTE,Portal Américas T3 B
B14 P. NORTE,Tintal A - 2 ó 5
B14 P. NORTE,Transversal 86 B - 2
B14 P. NORTE,Banderas T6
B14 P. NORTE,Pradera A - 2 ó 5
B14 P. NORTE,CDS - Carrera 32 B - 1
B14 P. NORTE,La Sabana B - 1
B14 P. NORTE,Calle 26 A - 4 ó 6
B14 P. NORTE,Profamilia A - 4 ó 6
B14 P. NORTE,Calle 45 A - 4 ó 6
B14 P. NORTE,Marly A - 4 ó 6
B14 P. NORTE,Heroes A - 4 ó 6
B14 P. NORTE,Calle 85 B - 4 ó 6
B14 P. NORTE,Calle 100 C - 3
B14 P. NORTE,Calle 127 B - 4 ó 6
B14 P. NORTE,Alcalá B - 4 ó 6
B14 P. NORTE,Calle 146 C - 4
B14 P. NORTE,Cabecera Autopista Norte T3
F14 Americas,Cabecera Autopista Norte T3
F14 Americas,Calle 146 B - 2
F14 Americas,Alcalá A - 2 ó 5
F14 Americas,Calle 127 A - 2 ó 5
F14 Americas,Calle 100 C - 2
F14 Americas,Calle 85 B - 2
F14 Americas,Heroes A - 1 ó 5
F14 Americas,Marly B - 2 ó 5
F14 Americas,Calle 45 C - 2
F14 Americas,Profamilia C - 2
F14 Americas,Calle 26 C - 2
F14 Americas,La Sabana A - 3
F14 Americas,CDS - Carrera 32 A - 3
F14 Americas,Pradera A - 3 ó 6
F14 Americas,Banderas T5
F14 Americas,Transversal 86 B - 4
F14 Americas,Tintal A - 4
F14 Americas,Portal Américas T3 B
B14 P. NORTE_Banderas,Banderas T5
B14 P. NORTE_Banderas,Banderas T6
B14 P. NORTE_Banderas,Pradera A - 2 ó 5
B14 P. NORTE_Banderas,CDS - Carrera 32 B - 1
B14 P. NORTE_Banderas,La Sabana B - 1
B14 P. NORTE_Banderas,Calle 26 A - 4 ó 6
B14 P. NORTE_Banderas,Profamilia A - 4 ó 6
B14 P. NORTE_Banderas,Calle 45 A - 4 ó 6
B14 P. NORTE_Banderas,Marly A - 4 ó 6
B14 P. NORTE_Banderas,Heroes A - 4 ó 6
B14 P. NORTE_Banderas,Calle 85 B - 4 ó 6
B14 P. NORTE_Banderas,Calle 100 C - 3
B14 P. NORTE_Banderas,Calle 127 B - 4 ó 6
B14 P. NORTE_Banderas,Alcalá B - 4 ó 6
B14 P. NORTE_Banderas,Calle 146 C - 4
B14 P. NORTE_Banderas,Cabecera Autopista Norte T3
F14 Banderas,Cabecera Autopista Norte T3
F14 Banderas,Calle 146 B - 2
F14 Banderas,Alcalá A - 2 ó 5
F14 Banderas,Calle 127 A - 2 ó 5
F14 Banderas,Calle 100 C - 2
F14 Banderas,Calle 85 B - 2
F14 Banderas,Heroes A - 1 ó 5
F14 Banderas,Marly B - 2 ó 5
F14 Banderas,Calle 45 C - 2
F14 Banderas,Profamilia C - 2
F14 Banderas,Calle 26 C - 2
F14 Banderas,La Sabana A - 3
F14 Banderas,CDS - Carrera 32 A - 3
F14 Banderas,Pradera A - 3 ó 6
F14 Banderas,Banderas T5
B16 TERMINAL,Portal Eldorado T3
B16 TERMINAL,Modelia B -1 ó 5
B16 TERMINAL,Av. Rojas A - 2 ó 5
B16 TERMINAL,El Tiempo B - 1 ó 5
B16 TERMINAL,Salitre El Greco B - 1 ó 5
B16 TERMINAL,CAN B - 1 ó 5
B16 TERMINAL,Quinta Paredes A - 2 ó 5
B16 TERMINAL,CorLas Ferias B - 1 ó 5
B16 TERMINAL,Av. El Dorado A - 4 ó 6
B16 TERMINAL,Av. Chile B - 4 ó 6
B16 TERMINAL,Pepe Sierra A - 4 ó 6
B16 TERMINAL,Alcalá C - 4 ó 6
B16 TERMINAL,Toberín B - 4 ó 6
B16 TERMINAL,Centro Comercial Santa Fe A - 4 ó 6
B16 TERMINAL,Terminal A - 4 ó 6
K16 P. ELDORADO,Terminal A - 4 ó 6
K16 P. ELDORADO,Terminal A - 2 ó 5
K16 P. ELDORADO,Centro Comercial Santa Fe A - 2 ó 5
K16 P. ELDORADO,Toberín C - 2 ó 5
K16 P. ELDORADO,Alcalá C - 2 ó 5
K16 P. ELDORADO,Pepe Sierra B - 2 ó 5
K16 P. ELDORADO,Av. Chile C - 2 ó 5
K16 P. ELDORADO,Av. El Dorado A - 2 ó 5
K16 P. ELDORADO,CorLas Ferias B - 4 ó 6
K16 P. ELDORADO,Quinta Paredes A - 3 ó 6
K16 P. ELDORADO,CAN B - 4 ó 6
K16 P. ELDORADO,Salitre El Greco B - 4 ó 6
K16 P. ELDORADO,El Tiempo B - 4 ó 6
K16 P. ELDORADO,Av. Rojas A - 3 ó 6
K16 P. ELDORADO,Modelia B - 4 ó 6
K16 P. ELDORADO,Portal Eldorado T3
B27 P. Norte,Portal Tunal T2
B27 P. Norte,Calle 40 Sur A - 4 ó 6
B27 P. Norte,Avenida Jimenez A - 4 ó 6
B27 P. Norte,Marly A - 4 ó 6
B27 P. Norte,Calle 72 B - 4 ó 6
B27 P. Norte,Calle 76 A - 4 ó 6
B27 P. Norte,Calle 85 C - 4 ó 6
B27 P. Norte,Virrey A - 4 ó 6
B27 P. Norte,Cabecera Autopista Norte T6
H27 P. Tunal,Cabecera Autopista Norte T6
H27 P. Tunal,Virrey B - 2 ó 5
H27 P. Tunal,Calle 85 C - 2 ó 5
H27 P. Tunal,Calle 76 A - 2 ó 5
H27 P. Tunal,Calle 72 A - 2 ó 5
H27 P. Tunal,Marly A - 2 ó 5
H27 P. Tunal,Avenida Jimenez A - 2 ó 5
H27 P. Tunal,Calle 40 Sur A - 2 ó 5
H27 P. Tunal,Portal Tunal T2
B28 P. NORTE,Portal Américas T2 A
B28 P. NORTE,Tintal B - 1
B28 P. NORTE,Banderas T6
B28 P. NORTE,Zona Industrial A - 2
B28 P. NORTE,CDS - Carrera 32 A - 2
B28 P. NORTE,CAD B - 4 ó 6
B28 P. NORTE,U. Nacional B - 4 ó 6
B28 P. NORTE,Simon Bolivar A - 4
B28 P. NORTE,Av. Chile C - 4 ó 6
B28 P. NORTE,Castellana B - 4
B28 P. NORTE,Calle 106 A - 4 ó 6
B28 P. NORTE,Pepe Sierra B - 4 ó 6
B28 P. NORTE,Prado C - 4 ó 6
B28 P. NORTE,Cabecera Autopista Norte T3
F28 P. AMÉRICAS,Cabecera Autopista Norte T3
F28 P. AMÉRICAS,Prado C - 1
F28 P. AMÉRICAS,Pepe Sierra B - 2 ó 5
F28 P. AMÉRICAS,Calle 106 B - 1
F28 P. AMÉRICAS,Castellana A - 2
F28 P. AMÉRICAS,Av. Chile B - 2 ó 5
F28 P. AMÉRICAS,Simon Bolivar B - 2
F28 P. AMÉRICAS,U. Nacional B - 1
